"","x"
"Age",0.00298518518518519
"WorkTravel",0.00177407407407407
"DailyRate",0.000174074074074074
"Department",0.00184074074074074
"DistFromHome",0.00128888888888889
"Education",-0.000237037037037037
"FieldOfStudy",0.000381481481481482
"Headcount",0
"EnvrSatIndex",0.00120740740740741
"Gender",-0.000162962962962963
"HourlyRate",-0.000144444444444444
"JobInvolv",0.000355555555555556
"JobLevel",0.00695925925925926
"JobRole",0.00347777777777778
"JobSatIndex",0.000937037037037037
"MaritalState",0.00397407407407408
"MonthlyInco",0.00329259259259259
"MonthlyRate",-0.000348148148148148
"NumPriorComp",0.000751851851851852
"OverTime",0.0265703703703704
"PctSalaryInc",-8.88888888888891e-05
"PerfRating",-4.07407407407407e-05
"RelpSatIndex",0.000551851851851852
"StdHours",0
"StockOptLvl",0.00445925925925926
"TotWorkExp",0.00242222222222222
"TrainedLstYr",0.00012962962962963
"WorkLifeFit",0.00042962962962963
"YrsAtCompany",0.00108148148148148
"YrsInRole",0.000937037037037038
"LastPromoted",0.000474074074074074
"YrsWithMgr",0.00111851851851852
